Team	League	Player Name	Position	Shot Prop
Seattle Echo	Backyard	Enrique Blanco	MID	11
Seattle Echo	Backyard	Tomasi Devi	MID	10
Seattle Echo	Backyard	Gustavo Vega	DEF	5
Philadelphia Spirit	Backyard	Angel Cedeno	FWD	26
Philadelphia Spirit	Backyard	Victor Weaver	GK	0
Philadelphia Spirit	Backyard	Walker Hayes	FWD	24
Philadelphia Spirit	Backyard	Manuel Gonçalves	MID	14
Philadelphia Spirit	Backyard	Marlon Padilla	DEF	5
Philadelphia Spirit	Backyard	Musa Musa	MID	8
Philadelphia Spirit	Backyard	Jorge Molina	MID	13
Philadelphia Spirit	Backyard	Felix Rodriguez	DEF	5
Philadelphia Spirit	Backyard	Pedro Nsue	DEF	5
Dallas Flare	Backyard	Hector	FWD	28
Dallas Flare	Backyard	Diego Perez	FWD	27
Dallas Flare	Backyard	César Nyikeine	GK	0
Dallas Flare	Backyard	Felipe Juarez	DEF	5
Dallas Flare	Backyard	Gabriel Juarez	MID	10
Dallas Flare	Backyard	Manuel Amador	MID	6
Dallas Flare	Backyard	Antoine Semenyo	MID	14
Dallas Flare	Backyard	Hugo Rosas	DEF	5
Dallas Flare	Backyard	Tomas Morales	DEF	5
San Jose Relampago	Backyard	Jordan Amartey	FWD	27
San Jose Relampago	Backyard	Domingo Roldan	FWD	25
San Jose Relampago	Backyard	Inaki Kudus	GK	0
San Jose Relampago	Backyard	Rafael Borré	MID	11
San Jose Relampago	Backyard	Reinildo Dove	DEF	5
San Jose Relampago	Backyard	Jorge Sanchez	MID	11
San Jose Relampago	Backyard	Edwin Lopez	MID	11
San Jose Relampago	Backyard	Francis Baptiste	DEF	5
San Jose Relampago	Backyard	Hamza El Mehdi	DEF	5
Montreal Coureurs	Backyard	Matti Jokinen	FWD	26
Montreal Coureurs	Backyard	Santiago Barrios	FWD	24
Montreal Coureurs	Backyard	Cassius Reed	GK	0
Montreal Coureurs	Backyard	Rafael Tejeda	MID	13
Montreal Coureurs	Backyard	Vicente Mendez	MID	12
Montreal Coureurs	Backyard	Wayne Harrison	MID	10
Montreal Coureurs	Backyard	Arthur Kayembe	DEF	5
Montreal Coureurs	Backyard	Armando Dominguez	DEF	5
Montreal Coureurs	Backyard	Youssouf M'Changama	DEF	5
Tijuana Vaqueros	Backyard	Guadalupe Moreno	FWD	28
Tijuana Vaqueros	Backyard	Scott Robinson	FWD	29
Tijuana Vaqueros	Backyard	Ahmet Ozcan	GK	0
Tijuana Vaqueros	Backyard	Rogelio Valencia	MID	7
Tijuana Vaqueros	Backyard	Phil Schröck	MID	10
Tijuana Vaqueros	Backyard	Liu Lei	DEF	5
Tijuana Vaqueros	Backyard	Kassaly Hainikoye	MID	11
Tijuana Vaqueros	Backyard	Jaime Chavarria	DEF	5
Tijuana Vaqueros	Backyard	Carlos Vieira	DEF	5
Washington Justice	Backyard	Marc Sanon	GK	0
Washington Justice	Backyard	Vojislav Milic	FWD	25
Washington Justice	Backyard	Spyridon Karagiannis	FWD	22
Washington Justice	Backyard	Guillaume Deschamps	DEF	5
Washington Justice	Backyard	Siyanda Zwane	DEF	5
Washington Justice	Backyard	Johan Charlier	MID	17
Washington Justice	Backyard	Martin Patiño	DEF	5
Washington Justice	Backyard	Yukio Ono	MID	12
Washington Justice	Backyard	Jonathan Carmichael	MID	9
Detroit Firebirds	Backyard	Joel Hosein	FWD	28
Detroit Firebirds	Backyard	Neville Grant	FWD	26
Detroit Firebirds	Backyard	Mauricio Fuentes	GK	0
Detroit Firebirds	Backyard	Felipe Pinheiro	MID	11
Detroit Firebirds	Backyard	Felix Cardozo	DEF	5
Detroit Firebirds	Backyard	Cesar Romero	DEF	5
Detroit Firebirds	Backyard	Nico Soria	MID	7
Detroit Firebirds	Backyard	Clyde Gittens	MID	13
Detroit Firebirds	Backyard	Graham Chapman	DEF	5
Denver Torrent	Backyard	Edgar Rojas	GK	0
Denver Torrent	Backyard	Geraldo Faife	FWD	26
Denver Torrent	Backyard	Hassan Mohammadi	FWD	25
Denver Torrent	Backyard	Javier Giraldo	DEF	5
Denver Torrent	Backyard	Abdoul Oumarou	DEF	5
Denver Torrent	Backyard	Kim Min-Jun	MID	13
Denver Torrent	Backyard	Diego Correia	DEF	5
Denver Torrent	Backyard	Ricardo Mejia	MID	9
Denver Torrent	Backyard	Hugh McAuley	MID	12
