Position	Name	Country	SH	SP	DF	GK
FWD	Roy Kayara	New Caledonia	31	30	0	0
FWD	Rocky Zeoula	New Caledonia	32	32	0	0
MID	Georges Béaruné	New Caledonia	22	37	27	0
MID	Mone Wamowe	New Caledonia	26	36	26	0
DEF	Emile Gope-Fenepej	New Caledonia	25	37	23	0
DEF	Jean-Philippe Saïko	New Caledonia	21	26	39	0
GK	César Nyikeine	New Caledonia	0	0	37	36
FWD	Jalil Elias	Syria	27	25	0	0
FWD	Ezequiel Alma	Syria	28	32	0	0
MID	Omar Ajan	Syria	26	39	27	0
MID	Ammar Krouma	Syria	24	43	22	0
DEF	Omar Ham	Syria	23	29	28	0
DEF	Ammar Sabbag	Syria	28	30	34	0
GK	Pablo Ajan	Syria	0	0	29	37
FWD	Faiz Al-Rushaidi	Oman	27	36	0	0
FWD	Khalid Al-Rushaidi	Oman	28	24	0	0
MID	Jameel Al-Subhi	Oman	21	29	31	0
MID	Jameel Al-Yahyaei	Oman	24	33	27	0
DEF	Salaah Al-Yahyaei	Oman	23	30	37	0
DEF	Salaah Al-Yahmadi	Oman	27	24	26	0
GK	Ahmed Saleh	Oman	0	0	28	43
FWD	Shahrul Rashid	Malaysia	34	35	0	0
FWD	Syahmi Gan	Malaysia	31	33	0	0
MID	Farizal Sumareh	Malaysia	30	22	29	0
MID	Nor Marlias	Malaysia	34	29	24	0
DEF	Akhyar Saad	Malaysia	23	26	41	0
DEF	Aidil Ahmad	Malaysia	25	30	21	0
GK	Syafiq Rasid	Malaysia	0	0	22	30
FWD	Lin Chenjie	China	28	26	0	0
FWD	Zhu Yang	China	32	24	0	0
MID	Jiang Linpeng	China	29	30	43	0
MID	Zhang Guangtai	China	30	26	20	0
DEF	Liu Lei	China	23	29	41	0
DEF	Zhu Linpeng	China	25	28	39	0
GK	Lin Liangming	China	0	0	32	30
FWD	Manuchekhr Tursunov	Tajikistan	35	32	0	0
FWD	Akhtam Jalilov	Tajikistan	37	38	0	0
MID	Sheriddin Vasiev	Tajikistan	29	34	28	0
MID	Nuriddin Ergashev	Tajikistan	32	25	24	0
DEF	Rustam Panshanbe	Tajikistan	27	34	33	0
DEF	Ehson Boboev	Tajikistan	32	27	20	0
GK	Parviz Dzhalilov	Tajikistan	0	0	34	30
FWD	Bakhtiyar Musabekov	Kyrgyzstan	27	21	0	0
FWD	Farhat Kozubaev	Kyrgyzstan	29	25	0	0
MID	Azamat Zemlianukhin	Kyrgyzstan	31	37	32	0
MID	Valery Duishobekov	Kyrgyzstan	33	26	20	0
DEF	Kairat Kichin	Kyrgyzstan	25	31	34	0
DEF	Viktor Baymatov	Kyrgyzstan	28	27	29	0
GK	Tamirlan Alykulov	Kyrgyzstan	0	0	37	31
FWD	Simon Apa	Papua New Guinea	30	28	0	0
FWD	Moses Tonny	Papua New Guinea	29	23	0	0
MID	Mathew Amos	Papua New Guinea	25	29	26	0
MID	Joseph Wari	Papua New Guinea	28	30	31	0
DEF	Philip Gibson	Papua New Guinea	21	27	37	0
DEF	Samson Alu	Papua New Guinea	20	22	23	0
GK	Junior Koi	Papua New Guinea	0	0	30	31
FWD	Khaled Obaid	Iraq	27	32	0	0
FWD	Abdullah Kazem	Iraq	26	29	0	0
MID	Mahmoud Abdul-Karim	Iraq	21	28	23	0
MID	Sajjad Ali	Iraq	24	25	20	0
DEF	Mohamed Khalaf	Iraq	22	21	31	0
DEF	Haidar Salman	Iraq	27	35	21	0
GK	Qasim Jawad	Iraq	0	0	25	36
FWD	Stephan De Murga	Philippines	32	20	0	0
FWD	Daisuke Steuble	Philippines	25	39	0	0
MID	Phil Schröck	Philippines	26	41	31	0
MID	Misagh Etheridge	Philippines	24	22	29	0
DEF	Neil Reichelt	Philippines	21	39	20	0
DEF	Martin Patiño	Philippines	23	38	35	0
GK	James Bahadoran	Philippines	0	0	38	30
FWD	Mehdi Khalil	Lebanon	38	41	0	0
FWD	Hilal Maatouk	Lebanon	35	43	0	0
MID	Felix Jradi	Lebanon	24	34	35	0
MID	Hassan Ataya	Lebanon	27	31	34	0
DEF	Nader Matar	Lebanon	20	40	26	0
DEF	Bassel Haidar	Lebanon	25	43	29	0
GK	Rabih El Zein	Lebanon	0	0	27	36
FWD	Manvir Singh	India	27	42	0	0
FWD	Gurpreet Chhetri	India	31	40	0	0
MID	Sahal Fernandes	India	24	40	26	0
MID	Sandesh Borges	India	28	21	27	0
DEF	Anirudh Jhingan	India	23	27	20	0
DEF	Rowllin Singh	India	26	42	35	0
GK	Sunil Kotal	India	0	0	21	30
FWD	Steevy Kaihapi	Tahiti	32	43	0	0
FWD	Mikaël Bourebare	Tahiti	34	29	0	0
MID	Heimano Roche	Tahiti	29	38	23	0
MID	Alvin Tehau	Tahiti	26	27	32	0
DEF	Manaraii Wagemann	Tahiti	25	42	27	0
DEF	Marama Tehau	Tahiti	29	23	28	0
GK	Lorenzo Tehau	Tahiti	0	0	26	28
FWD	Viliame Naidu	Fiji	28	21	0	0
FWD	Krishneel Maharaj	Fiji	29	34	0	0
MID	Tomasi Devi	Fiji	27	30	37	0
MID	Salote Prakash	Fiji	26	24	23	0
DEF	Jone Khan	Fiji	24	25	32	0
DEF	Tevita Chand	Fiji	23	23	23	0
GK	Josefa Prasad	Fiji	0	0	20	32
FWD	Brian Soromon	Vanuatu	30	21	0	0
FWD	Godine Alick	Vanuatu	27	40	0	0
MID	Brian Kalo	Vanuatu	26	24	34	0
MID	Godine Thomas	Vanuatu	29	40	20	0
DEF	Godine Nini	Vanuatu	24	24	28	0
DEF	Mitch Alick	Vanuatu	29	36	34	0
GK	Brian Clark	Vanuatu	0	0	21	32
FWD	Hansamu Yama	Indonesia	32	21	0	0
FWD	Stefano Mangkualam	Indonesia	37	29	0	0
MID	Asnawi Fajrin	Indonesia	36	29	32	0
MID	Osvaldo Gonçalves	Indonesia	42	25	21	0
DEF	Beto Ardhiyasa	Indonesia	24	21	22	0
DEF	Andritany Dimas	Indonesia	23	25	38	0
GK	Evan Lilipaly	Indonesia	0	0	36	34
FWD	Dang Hung Dung	Vietnam	29	24	0	0
FWD	Phan Quang Hai	Vietnam	34	28	0	0
MID	Que Ngoc Hai	Vietnam	31	20	36	0
MID	Que Tien Linh	Vietnam	33	37	22	0
DEF	Vu Hung Dung	Vietnam	26	21	41	0
DEF	Nguyen Quang Hai	Vietnam	27	20	26	0
GK	Vu Tien Linh	Vietnam	0	0	26	29
FWD	Caio Sultan	United Arab Emirates	40	23	0	0
FWD	Tahnoon Ramadan	United Arab Emirates	38	36	0	0
MID	Abdalla Eisa	United Arab Emirates	25	34	34	0
MID	Majed Sultan	United Arab Emirates	26	22	43	0
DEF	Ali Al-Ahbabi	United Arab Emirates	25	32	41	0
DEF	Ali Sultan	United Arab Emirates	20	20	20	0
GK	Yahya Lima	United Arab Emirates	0	0	33	32
FWD	Jerry Mango	Solomon Islands	29	29	0	0
FWD	Emmanuel Poila	Solomon Islands	28	22	0	0
MID	Philip Ifunaoa	Solomon Islands	25	25	28	0
MID	Micah Donga	Solomon Islands	27	31	21	0
DEF	Dennis Nawo	Solomon Islands	20	33	27	0
DEF	Gagame Lea'alafa	Solomon Islands	23	26	34	0
GK	Hadisi Aengari	Solomon Islands	0	0	38	36
FWD	Fahad Ali	Qatar	37	41	0	0
FWD	Sunil Sharma	Qatar	33	36	0	0
MID	Ramesh Shrestha	Qatar	22	36	37	0
MID	Arshad Yadav	Qatar	27	35	25	0
DEF	Faisal Almarri	Qatar	25	21	41	0
DEF	Syed Rahman	Qatar	21	31	24	0
GK	Rajeev Ali	Qatar	0	0	31	30
FWD	Pansa Chaided	Thailand	28	41	0	0
FWD	Kritsada Sarachat	Thailand	32	25	0	0
MID	Supachai Dangda	Thailand	27	20	22	0
MID	Pansa Kaman	Thailand	29	37	32	0
DEF	Supachok Hemviboon	Thailand	28	25	20	0
DEF	Kritsada Hemviboon	Thailand	23	35	27	0
GK	Ekanit Yooyen	Thailand	0	0	25	44
FWD	Bader Al-Fadhel	Kuwait	36	27	0	0
FWD	Ahmed Abdulghafoor	Kuwait	31	39	0	0
MID	Abdullah Nasser	Kuwait	24	30	33	0
MID	Yousef Al-Harbi	Kuwait	23	39	30	0
DEF	Amer Zaid	Kuwait	22	33	33	0
DEF	Shabaib Al-Dhefiri	Kuwait	21	37	32	0
GK	Sulaiman Al-Khaldi	Kuwait	0	0	23	20
FWD	Abdullah Lutfalla	Bahrain	40	20	0	0
FWD	Mahdi Marhoon	Bahrain	35	26	0	0
MID	Komail Al-Aswad	Bahrain	27	32	31	0
MID	Abdullah Al-Aswad	Bahrain	30	26	35	0
DEF	Ebrahim Al-Aswad	Bahrain	25	33	33	0
DEF	Komail Madhan	Bahrain	22	20	24	0
GK	Abdulla Al-Aswad	Bahrain	0	0	21	31
FWD	Rafael Guevara	El Salvador	38	22	0	0
FWD	Marcos Aguilar	El Salvador	42	20	0	0
MID	Ricardo Mejia	El Salvador	23	37	22	0
MID	Elmer Campos	El Salvador	21	20	37	0
DEF	Mauricio Argueta	El Salvador	20	24	28	0
DEF	Raul Orellana	El Salvador	21	26	36	0
GK	Nelson Portillo	El Salvador	0	0	28	30
FWD	Jose Abrego	Panama	37	20	0	0
FWD	Angel Cedeno	Panama	39	44	0	0
MID	Francisco Castillo	Panama	32	48	45	0
MID	Edwin Lopez	Panama	33	29	31	0
DEF	Miguel Ortega	Panama	30	32	44	0
DEF	Alberto Diaz	Panama	28	38	26	0
GK	Javier Guerra	Panama	0	0	37	42
FWD	Cesar Romero	Venezuela	32	30	0	0
FWD	Freddy Lopez	Venezuela	37	33	0	0
MID	Rafael Parra	Venezuela	33	37	43	0
MID	Pablo Rivero	Venezuela	32	31	21	0
DEF	Javier Medina	Venezuela	30	23	31	0
DEF	Felix Rodriguez	Venezuela	27	32	39	0
GK	Edgar Rojas	Venezuela	0	0	42	37
FWD	Santiago Barrios	Guatemala	36	38	0	0
FWD	Angel de Leon	Guatemala	35	33	0	0
MID	Domingo Ordonez	Guatemala	33	31	30	0
MID	Vicente Mendez	Guatemala	32	33	42	0
DEF	Tomas Morales	Guatemala	23	32	32	0
DEF	Felipe Juarez	Guatemala	26	31	38	0
GK	Hugo Pop	Guatemala	0	0	23	37
FWD	Mario Condori	Bolivia	35	21	0	0
FWD	Oscar Huanca	Bolivia	34	27	0	0
MID	Francisco Flores	Bolivia	30	30	23	0
MID	Juan Apaza	Bolivia	28	37	20	0
DEF	Eduardo Vaca	Bolivia	24	34	47	0
DEF	Edwin Torrez	Bolivia	26	20	43	0
GK	Victor Choque	Bolivia	0	0	20	37
FWD	Neville Grant	Jamaica	39	30	0	0
FWD	Albert Hall	Jamaica	43	33	0	0
MID	John Edwards	Jamaica	20	26	24	0
MID	Patrick Miller	Jamaica	22	33	29	0
DEF	Winston Powell	Jamaica	21	24	32	0
DEF	William Gayle	Jamaica	26	22	34	0
GK	Cecil Brown	Jamaica	0	0	25	28
FWD	Joel Hosein	Trinidad and Tobago	44	20	0	0
FWD	Anthony Gonzales	Trinidad and Tobago	40	31	0	0
MID	Nigel Maharaj	Trinidad and Tobago	38	47	37	0
MID	Adrian Johnson	Trinidad and Tobago	39	40	35	0
DEF	Nicholas Persad	Trinidad and Tobago	34	34	39	0
DEF	Francis Baptiste	Trinidad and Tobago	29	32	30	0
GK	Dexter Edwards	Trinidad and Tobago	0	0	43	37
FWD	Manuel Valdes	Cuba	28	40	0	0
FWD	Alejandro Medina	Cuba	33	28	0	0
MID	Enrique Blanco	Cuba	28	33	43	0
MID	Ramos Marrero	Cuba	33	35	40	0
DEF	Armando Dominguez	Cuba	22	38	36	0
DEF	Gustavo Vega	Cuba	27	26	37	0
GK	Ruben Levya	Cuba	0	0	41	32
FWD	Jesus Zelaya	Honduras	39	22	0	0
FWD	Pedro Banegas	Honduras	41	42	0	0
MID	Daniel Ortiz	Honduras	21	27	27	0
MID	Manuel Amador	Honduras	23	38	24	0
DEF	Marlon Padilla	Honduras	20	43	36	0
DEF	Ramon Bonilla	Honduras	22	38	32	0
GK	Wilmer Paz	Honduras	0	0	37	37
FWD	Niels Moller	Greenland	31	26	0	0
FWD	Jesper Kleist	Greenland	28	31	0	0
MID	Lars Heilmann	Greenland	26	32	24	0
MID	Isak Kristiansen	Greenland	30	28	29	0
DEF	Otto Lyberth	Greenland	28	28	23	0
DEF	Jorgen Egede	Greenland	30	32	22	0
GK	Ole Lynge	Greenland	0	0	20	29
FWD	Vincent Charlery	Saint Lucia	32	26	0	0
FWD	Sylvester Jean-Baptiste	Saint Lucia	33	24	0	0
MID	Richard Gustave	Saint Lucia	22	20	29	0
MID	Ignatius Williams	Saint Lucia	26	33	21	0
DEF	Robert Mathurin	Saint Lucia	25	27	20	0
DEF	Titus Augustin	Saint Lucia	29	20	28	0
GK	Cyril Hippolyte	Saint Lucia	0	0	29	30
FWD	Raymond Brown	Bahamas	33	25	0	0
FWD	Sidney Knowles	Bahamas	29	36	0	0
MID	Chris Rolle	Bahamas	28	23	36	0
MID	Jean Roberts	Bahamas	31	33	26	0
DEF	Andrew Pinder	Bahamas	24	21	33	0
DEF	Arthur Bethel	Bahamas	27	25	29	0
GK	Patrick Sands	Bahamas	0	0	22	33
FWD	Tyrone King	Barbados	25	20	0	0
FWD	Ian Mayers	Barbados	29	37	0	0
MID	Nigel Clarke	Barbados	28	34	22	0
MID	Clyde Gittens	Barbados	33	28	34	0
DEF	Colin Brathwaite	Barbados	23	27	22	0
DEF	Rodney Harewood	Barbados	28	21	29	0
GK	Patrick Boyce	Barbados	0	0	26	30
FWD	Nicolas Montero	Dominican Republic	41	35	0	0
FWD	Francis de la Rosa	Dominican Republic	33	26	0	0
MID	Vicente Tavarez	Dominican Republic	39	29	22	0
MID	Rafael Tejeda	Dominican Republic	34	40	28	0
DEF	Tomas Batista	Dominican Republic	26	28	32	0
DEF	Lorenzo Marte	Dominican Republic	21	43	30	0
GK	Maximo Ventura	Dominican Republic	0	0	23	30
FWD	Felipe Contreras	Chile	45	31	0	0
FWD	Marco Alvarez	Chile	42	46	0	0
MID	Cristian Rivera	Chile	27	37	26	0
MID	Patricio Torres	Chile	32	46	40	0
DEF	Jaime Riquelme	Chile	29	43	48	0
DEF	Hector Alvarez	Chile	33	38	33	0
GK	Mauricio Fuentes	Chile	0	0	26	39
FWD	Juan-Carlos Novelo	Belize	38	31	0	0
FWD	John Garcia	Belize	23	26	0	0
MID	Peter Ramirez	Belize	21	38	29	0
MID	Antonio Martinez	Belize	25	28	24	0
DEF	Wayne Vasquez	Belize	22	35	26	0
DEF	Julio Sanchez	Belize	25	34	24	0
GK	Gilberto Cruz	Belize	0	0	32	33
FWD	Carlos Acosta	Uruguay	39	38	0	0
FWD	Gustavo Techera	Uruguay	41	49	0	0
MID	Gerardo Perez	Uruguay	32	36	48	0
MID	Ramon Perdomo	Uruguay	35	44	45	0
DEF	Nestor Moreira	Uruguay	28	47	30	0
DEF	Gonzalo Machado	Uruguay	31	40	45	0
GK	Ricardo de Los Santos	Uruguay	0	0	21	50
FWD	Gerardo Vega	Puerto Rico	28	39	0	0
FWD	Ricardo Rosa	Puerto Rico	33	38	0	0
MID	Gilberto Delgado	Puerto Rico	32	45	32	0
MID	Roberto Colon	Puerto Rico	34	20	31	0
DEF	Juan Narvaez	Puerto Rico	33	39	47	0
DEF	Josue Pagan	Puerto Rico	38	21	26	0
GK	Jorge Canales	Puerto Rico	0	0	36	35
FWD	Francois Toussaint	Haiti	39	41	0	0
FWD	Baptiste Fils-Aime	Haiti	25	22	0	0
MID	Robenson Laguerre	Haiti	31	26	20	0
MID	James Delva	Haiti	23	38	38	0
DEF	Frantz Germaine	Haiti	20	40	34	0
DEF	Evens Moise	Haiti	22	34	29	0
GK	Marc Sanon	Haiti	0	0	34	39
FWD	Eddy Espinoza	Nicaragua	31	23	0	0
FWD	Reynaldo Herrera	Nicaragua	30	41	0	0
MID	Fernando Reyes	Nicaragua	29	39	30	0
MID	Orlando Centeno	Nicaragua	33	30	34	0
DEF	Ernesto Jarquin	Nicaragua	29	39	24	0
DEF	Jaime Chavarria	Nicaragua	33	27	32	0
GK	Marvin Castillo	Nicaragua	0	0	28	32
FWD	Jan Prochazka	Czechia	41	31	0	0
FWD	Vaclav Dvorak	Czechia	39	25	0	0
MID	Petr Navratil	Czechia	35	39	44	0
MID	Michal Fialova	Czechia	37	31	35	0
DEF	Miroslav Svoboda	Czechia	26	32	22	0
DEF	Pavel Vesela	Czechia	27	43	50	0
GK	Jiri Novakova	Czechia	0	0	36	50
FWD	Simon Reyes	Gibraltar	29	22	0	0
FWD	Christian Perera	Gibraltar	24	20	0	0
MID	David Santos	Gibraltar	22	28	21	0
MID	Chris Moreno	Gibraltar	27	27	34	0
DEF	Stephen Cruz	Gibraltar	22	20	27	0
DEF	Andrew Sene	Gibraltar	24	23	31	0
GK	Ian Ballester	Gibraltar	0	0	29	32
FWD	Yusuf Guler	Turkey	39	28	0	0
FWD	Mustafa Simsek	Turkey	36	37	0	0
MID	Huseyin Sahin	Turkey	26	38	46	0
MID	Omer Koc	Turkey	28	27	32	0
DEF	Mehmet Celik	Turkey	24	43	34	0
DEF	Ramazan Yilmaz	Turkey	28	34	46	0
GK	Ahmet Ozcan	Turkey	0	0	28	39
FWD	Spyridon Karagiannis	Greece	34	41	0	0
FWD	Georgios Nikolaidis	Greece	38	45	0	0
MID	Evangelos Mylonas	Greece	35	34	21	0
MID	Stavros Giannopoulos	Greece	33	42	23	0
DEF	Dimitrios Papadopoulos	Greece	29	25	38	0
DEF	Konstantin Anastasiou	Greece	32	29	20	0
GK	Ilias Vasileiadis	Greece	0	0	20	35
FWD	Antoni de Silva	Andorra	31	32	0	0
FWD	Carles Vidal	Andorra	30	37	0	0
MID	Xavier Gomes	Andorra	22	29	21	0
MID	Pere Munoz	Andorra	26	35	32	0
DEF	Emilio Perez	Andorra	21	22	35	0
DEF	Rafael Jimenez	Andorra	25	35	30	0
GK	Sergi dos Santos	Andorra	0	0	30	25
FWD	Valeriu Florea	Moldova	44	26	0	0
FWD	Serghei Cojocari	Moldova	39	36	0	0
MID	Constantin Prodan	Moldova	25	34	31	0
MID	Anatolie Rotari	Moldova	26	25	35	0
DEF	Vasile Cazacu	Moldova	23	28	37	0
DEF	Grigore Ceban	Moldova	24	21	31	0
GK	Igor Turcan	Moldova	0	0	23	33
FWD	Ilija Trajkovska	Macedonia	37	21	0	0
FWD	Gjorgji Cvetkovska	Macedonia	28	25	0	0
MID	Jovan Stojanovski	Macedonia	34	32	25	0
MID	Stojan Petrovska	Macedonia	26	36	33	0
DEF	Petre Nikolov	Macedonia	25	28	32	0
DEF	Boris Ristov	Macedonia	23	27	25	0
GK	Zoran Atanasov	Macedonia	0	0	31	36
FWD	Vojislav Milic	Montenegro	39	26	0	0
FWD	Danilo Milosevic	Montenegro	23	32	0	0
MID	Dejan Popovic	Montenegro	35	31	30	0
MID	Slobodan Scekic	Montenegro	22	21	39	0
DEF	Milan Mitrovic	Montenegro	20	28	37	0
DEF	Branislav Maras	Montenegro	22	36	26	0
GK	Ljubomir Jovanovic	Montenegro	0	0	39	37
FWD	Kyriacos Panayiotou	Cyprus	41	32	0	0
FWD	Christos Kyprianou	Cyprus	28	27	0	0
MID	Georgios Christofi	Cyprus	37	25	33	0
MID	Demetris Nicolaou	Cyprus	24	30	26	0
DEF	Savvas Constantinou	Cyprus	22	33	36	0
DEF	Ioannis Andreou	Cyprus	27	34	28	0
GK	Marios Charalambous	Cyprus	0	0	28	29
FWD	Gabor Toth	Hungary	34	38	0	0
FWD	Sandor Toth	Hungary	39	40	0	0
MID	Istvan Kiss	Hungary	32	38	31	0
MID	Zoltan Kocsis	Hungary	36	43	25	0
DEF	Laszlo Kovacs	Hungary	31	25	40	0
DEF	Jozsef Szabo	Hungary	26	46	43	0
GK	Janos Meszaros	Hungary	0	0	31	42
FWD	Gunnar Bjornsson	Iceland	35	44	0	0
FWD	Einar Bjornsson	Iceland	39	21	0	0
MID	Kristjan Jonsson	Iceland	31	45	40	0
MID	Helgi Magnusson	Iceland	26	41	43	0
DEF	Johann Gunnarsson	Iceland	23	38	36	0
DEF	Arni Olafsson	Iceland	22	27	37	0
GK	Bjorn Halldorsson	Iceland	0	0	31	34
FWD	Nigel Smyth	Northern Ireland	36	21	0	0
FWD	Gareth Mulholland	Northern Ireland	32	23	0	0
MID	Francis O'Hagan	Northern Ireland	24	22	27	0
MID	Hugh McAuley	Northern Ireland	29	33	24	0
DEF	Colin Campbell	Northern Ireland	24	26	26	0
DEF	Terence Kane	Northern Ireland	23	36	32	0
GK	Cieran McCormick	Northern Ireland	0	0	36	37
FWD	John Campbell III	Scotland	34	23	0	0
FWD	Ian Murray	Scotland	33	32	0	0
MID	Charles Stewart	Scotland	25	35	31	0
MID	Thomas Anderson	Scotland	29	36	38	0
DEF	Stephen MacDonald	Scotland	25	21	22	0
DEF	Craig Henderson	Scotland	28	23	47	0
GK	Kenneth Wright	Scotland	0	0	37	40
FWD	Vladimir Vaher	Estonia	33	22	0	0
FWD	Andrei Kaasik	Estonia	29	26	0	0
MID	Dmitri Kivi	Estonia	27	30	20	0
MID	Aleksandr Kallas	Estonia	28	40	22	0
DEF	Juri Sepp	Estonia	24	40	22	0
DEF	Peeter Ots	Estonia	20	26	37	0
GK	Aleksandr Oja	Estonia	0	0	26	35
FWD	Oli Mikkelsen	Faroe Islands	29	33	0	0
FWD	Jogvan Hentze	Faroe Islands	31	27	0	0
MID	Heri Rasmussen	Faroe Islands	25	20	25	0
MID	Danjal Hojgaard	Faroe Islands	23	35	20	0
DEF	Rogvi Thomsen	Faroe Islands	20	24	29	0
DEF	Jens Niclasen	Faroe Islands	23	38	22	0
GK	Roi Joensen	Faroe Islands	0	0	30	29
FWD	Agron Krasniqi	Kosovo	26	22	0	0
FWD	Sanije Bytyqi	Kosovo	31	20	0	0
MID	Ismet Hasani	Kosovo	23	38	31	0
MID	Bajram Sylejmani	Kosovo	24	42	27	0
DEF	Enver Rexhepi	Kosovo	20	32	26	0
DEF	Fatmir Salihu	Kosovo	25	21	29	0
GK	Valon Gashi	Kosovo	0	0	25	35
FWD	Agostino Antonioli	Vatican City	21	22	0	0
FWD	Friedli Polisca	Vatican City	24	24	0	0
MID	Paolo Cameroni	Vatican City	23	23	33	0
MID	Enrico Mariotti	Vatican City	27	30	24	0
DEF	Angelo Giulietti	Vatican City	25	20	32	0
DEF	Giampiero Suriani	Vatican City	27	35	30	0
GK	Philippe Bergoglio	Vatican City	0	0	28	23
FWD	Niels Jensen	Denmark	39	29	0	0
FWD	Lars Moller	Denmark	37	27	0	0
MID	Soren Holm	Denmark	33	45	48	0
MID	Morten Rasmussen	Denmark	35	26	43	0
DEF	Henrik Mikkelsen	Denmark	22	38	47	0
DEF	Jesper Thomsen	Denmark	21	32	42	0
GK	Jens Clausen	Denmark	0	0	37	44
FWD	Sergey Volkov	Belarus	38	21	0	0
FWD	Mikhail Pashkevich	Belarus	22	25	0	0
MID	Yuriy Shevchenko	Belarus	21	32	27	0
MID	Vadim Tarasevich	Belarus	26	31	24	0
DEF	Evgeniy Novikov	Belarus	20	27	33	0
DEF	Denis Zaytsev	Belarus	24	23	28	0
GK	Maksim Zhuk	Belarus	0	0	20	36
FWD	Werner Frommelt	Liechtenstein	26	42	0	0
FWD	Georg Gstohl	Liechtenstein	27	28	0	0
MID	Franz Ospelt	Liechtenstein	25	42	31	0
MID	Michael Biedermann	Liechtenstein	28	21	26	0
DEF	Robert Oehri	Liechtenstein	25	21	27	0
DEF	Daniel Wohlwend	Liechtenstein	28	32	31	0
GK	Manfred Beck	Liechtenstein	0	0	24	34
FWD	Fatmir Dervishi	Albania	43	34	0	0
FWD	Edmond Toska	Albania	41	24	0	0
MID	Arben Sulaj	Albania	34	36	26	0
MID	Agron Lleshi	Albania	39	26	40	0
DEF	Ilir Hoxha	Albania	31	25	39	0
DEF	Luan Murati	Albania	28	30	43	0
GK	Sokol Gjoka	Albania	0	0	22	38
FWD	Slobodan Kovacevic	Bosnia and Herzegovina	36	44	0	0
FWD	Nikola Savic	Bosnia and Herzegovina	26	47	0	0
MID	Milan Marjanovic	Bosnia and Herzegovina	29	41	44	0
MID	Zeljko Vukevic	Bosnia and Herzegovina	26	39	47	0
DEF	Marko Bosnjak	Bosnia and Herzegovina	20	33	35	0
DEF	Ilija Hodzic	Bosnia and Herzegovina	24	43	43	0
GK	Slavko Maric	Bosnia and Herzegovina	0	0	21	38
FWD	Nicolae Popescu	Romania	42	35	0	0
FWD	Florin Stan	Romania	45	38	0	0
MID	Gheorghe Cristea	Romania	28	34	30	0
MID	Valentin Ionescu	Romania	31	37	29	0
DEF	Cosmin Simion	Romania	29	31	24	0
DEF	Liviu Ciobanu	Romania	28	20	38	0
GK	Radu Dragomir	Romania	0	0	39	41
FWD	Antanas Zukauskas	Lithuania	39	24	0	0
FWD	Arvydas Vasiliauskas	Lithuania	37	35	0	0
MID	Algimantas Zilinskas	Lithuania	29	36	25	0
MID	Arturas Jankauskas	Lithuania	30	28	21	0
DEF	Darius Balciunas	Lithuania	26	21	43	0
DEF	Tomas Ramanauskas	Lithuania	25	29	20	0
GK	Stasys Petrauskas	Lithuania	0	0	34	34
FWD	Frantisek Molnar	Slovakia	42	32	0	0
FWD	Stefan Takac	Slovakia	45	22	0	0
MID	Jan Horvath	Slovakia	23	26	28	0
MID	Juraj Szabo	Slovakia	26	37	21	0
DEF	Ladislav Kovac	Slovakia	23	25	40	0
DEF	Pavol Toth	Slovakia	20	35	30	0
GK	Miroslav Balaz	Slovakia	0	0	33	33
FWD	Franc Potocnik	Slovenia	36	43	0	0
FWD	Tomaz Korosec	Slovenia	25	24	0	0
MID	Marjan Krajnc	Slovenia	23	34	42	0
MID	Branko Novac	Slovenia	28	42	23	0
DEF	Anton Zupan	Slovenia	24	45	24	0
DEF	Bojan Kavcic	Slovenia	29	30	45	0
GK	Andrej Kos	Slovenia	0	0	30	40
FWD	Svein Berg	Norway	40	32	0	0
FWD	Kjell Nilsen	Norway	43	38	0	0
MID	Geir Gundersen	Norway	26	26	35	0
MID	Jan Johansen	Norway	30	42	40	0
DEF	Arne Hagen	Norway	26	28	31	0
DEF	Erik Olsen	Norway	22	43	36	0
GK	Lars Pedersen	Norway	0	0	25	37
FWD	Raymond Schembri	Malta	31	37	0	0
FWD	Kenneth Spiteri	Malta	22	24	0	0
MID	Pierre Micallef	Malta	29	26	33	0
MID	John Bugeja	Malta	22	38	27	0
DEF	Patrick Cassar	Malta	20	24	22	0
DEF	Luke Gatt	Malta	24	28	25	0
GK	Lawrence Grech	Malta	0	0	21	34
FWD	Conor O'Sullivan	Ireland	41	33	0	0
FWD	Hugh Doherty	Ireland	20	38	0	0
MID	Eamon Murphy	Ireland	24	44	42	0
MID	Philip Murray	Ireland	22	23	29	0
DEF	Adrian Walsh	Ireland	21	35	40	0
DEF	Declan Burke	Ireland	25	20	42	0
GK	Oliver O'Donnell	Ireland	0	0	32	36
FWD	Matti Jokinen	Finland	40	29	0	0
FWD	Jukka Saarinen	Finland	36	25	0	0
MID	Ari Korhonen	Finland	39	34	38	0
MID	Jani Rasanen	Finland	41	38	21	0
DEF	Heikki Laine	Finland	29	23	41	0
DEF	Timo Ojala	Finland	34	36	22	0
GK	Eero Salo	Finland	0	0	22	40
FWD	Stoyan Nikolov	Bulgaria	35	37	0	0
FWD	Iliya Dimitrov	Bulgaria	34	24	0	0
MID	Stefan Todorov	Bulgaria	30	36	28	0
MID	Emil Petrov	Bulgaria	27	22	23	0
DEF	Petar Hristov	Bulgaria	26	25	21	0
DEF	Veselin Ivanov	Bulgaria	21	34	34	0
GK	Krasimi Georgiev	Bulgaria	0	0	33	38
FWD	Stefano Zonzini	San Marino	27	22	0	0
